net,length_um
D_W_data[4],5.07
I_addr[7],5.07
_0348_,5.06
_0477_,5.04
_0790_,5.04
_0369_,5.02
_0612_,5.02
po_0.regf_0.w_addr\[2\],5
_0062_,4.985
_0173_,4.985
_0312_,4.92
_0395_,4.92
_0747_,4.92
_0825_,4.92
_0864_,4.92
po_0.regf_0._3_\[3\],4.92
_0212_,4.88
_0291_,4.88
_0377_,4.88
_0396_,4.88
_0399_,4.88
_0415_,4.88
_0438_,4.88
_0692_,4.88
_0764_,4.88
_0788_,4.88
_0831_,4.88
_0884_,4.88
_0055_,4.855
D_W_data[3],4.85
D_W_data[6],4.85
_0124_,4.845
_0335_,4.82
_0366_,4.82
_0223_,4.8
_0256_,4.8
_0345_,4.8
_0412_,4.8
_0459_,4.8
_0624_,4.8
_0652_,4.8
_0294_,4.78
_0272_,4.76
_0410_,4.76
_0416_,4.76
_0433_,4.76
_0842_,4.76
_0867_,4.76
D_W_data[2],4.73
_0078_,4.7
_0099_,4.7
_0349_,4.7
_0077_,4.625
_0168_,4.625
I_data[2],4.61
_0136_,4.605
_0697_,4.6
_0306_,4.58
_0203_,4.575
_0110_,4.545
_0826_,4.48
_0274_,4.46
_0277_,4.46
_0455_,4.46
_0646_,4.46
_0721_,4.46
_0862_,4.46
_0879_,4.46
_0171_,4.445
_0339_,4.44
_0148_,4.425
_0197_,4.42
_0218_,4.42
_0386_,4.42
_0684_,4.42
D_rd,4.39
D_wr,4.39
I_addr[5],4.39
_0738_,4.36
_0784_,4.36
_0220_,4.34
_0309_,4.34
_0355_,4.34
_0357_,4.34
_0365_,4.34
_0461_,4.34
_0674_,4.34
_0809_,4.34
uc_0.bc_0.359$func$\/openlane\/designs\/vahid6i\/src\/vahid6i.v:987$36.$result\[1\],4.34
reset,4.27
_0290_,4.23
_0592_,4.2
_0031_,4.145
_0106_,4.125
_0350_,4.12
_0650_,4.1
_0193_,4.02
_0456_,4.02
_0221_,4
_0370_,4
_0495_,4
_0112_,3.985
_0320_,3.98
_0095_,3.945
_0039_,3.925
_0103_,3.92
_0191_,3.9
uc_0.bc_0.358$func$\/openlane\/designs\/vahid6i\/src\/vahid6i.v:960$35.$result\[1\],3.9
_0209_,3.88
_0322_,3.88
_0359_,3.88
_0424_,3.88
_0425_,3.88
_0565_,3.88
_0601_,3.88
_0713_,3.88
_0875_,3.88
po_0.regf_0._3_\[0\],3.88
_0033_,3.865
_0093_,3.865
_0135_,3.865
_0145_,3.845
_0012_,3.825
_0013_,3.78
_0182_,3.78
_0644_,3.78
_0550_,3.76
_0071_,3.705
uc_0.bc_0.358$func$\/openlane\/designs\/vahid6i\/src\/vahid6i.v:960$35.$result\[5\],3.655
_0225_,3.56
_0333_,3.56
_0628_,3.56
_0780_,3.56
_0682_,3.54
_0696_,3.54
_0877_,3.54
net45,3.54
_0010_,3.505
_0040_,3.505
_0082_,3.505
_0047_,3.485
_0050_,3.465
_0139_,3.465
_0150_,3.465
_0167_,3.465
net16,3.465
uc_0.bc_0.358$func$\/openlane\/designs\/vahid6i\/src\/vahid6i.v:960$35.$result\[0\],3.44
uc_0.bc_0.358$func$\/openlane\/designs\/vahid6i\/src\/vahid6i.v:960$35.$result\[7\],3.44
uc_0.bc_0.359$func$\/openlane\/designs\/vahid6i\/src\/vahid6i.v:987$36.$result\[0\],3.44
uc_0.bc_0.359$func$\/openlane\/designs\/vahid6i\/src\/vahid6i.v:987$36.$result\[2\],3.44
uc_0.bc_0.359$func$\/openlane\/designs\/vahid6i\/src\/vahid6i.v:987$36.$result\[3\],3.44
uc_0.bc_0.359$func$\/openlane\/designs\/vahid6i\/src\/vahid6i.v:987$36.$result\[4\],3.44
uc_0.bc_0.359$func$\/openlane\/designs\/vahid6i\/src\/vahid6i.v:987$36.$result\[7\],3.44
_0229_,3.42
_0243_,3.42
_0313_,3.42
_0434_,3.42
_0528_,3.42
_0619_,3.42
_0661_,3.42
_0717_,3.42
_0778_,3.42
po_0.alu_0._11_\[2\],3.42
uc_0.bc_0.358$func$\/openlane\/designs\/vahid6i\/src\/vahid6i.v:960$35.$result\[4\],3.42
uc_0.bc_0.358$func$\/openlane\/designs\/vahid6i\/src\/vahid6i.v:960$35.$result\[6\],3.42
_0020_,3.405
_0035_,3.405
_0054_,3.405
_0073_,3.405
_0153_,3.405
_0175_,3.405
_0079_,3.32
_0142_,3.32
_0180_,3.32
_0017_,3.245
_0116_,3.245
_0183_,3.245
_0262_,3.22
_0630_,3.22
_0730_,3.22
_0734_,3.22
_0773_,3.22
_0160_,3.175
_0019_,3.125
_0245_,3.1
_0316_,3.1
_0406_,3.1
_0506_,3.1
_0219_,3.08
_0311_,3.08
_0814_,3.08
_0888_,3.08
uc_0.bc_0.358$func$\/openlane\/designs\/vahid6i\/src\/vahid6i.v:960$35.$result\[3\],3.08
_0009_,3.045
_0008_,3.005
_0087_,3.005
_0132_,3.005
_0156_,3.005
_0380_,2.98
_0887_,2.98
po_0.alu_0._11_\[1\],2.98
_0238_,2.96
_0240_,2.96
_0420_,2.96
_0458_,2.96
_0569_,2.96
