net,length_um
po_0.regf_0.rf\[6\]\[2\],23.29
po_0.regf_0.rf\[7\]\[3\],23.26
_1453_,23.2
po_0.regf_0.rf\[13\]\[7\],23.2
_1199_,23.18
po_0.regf_0.rf\[3\]\[0\],23.16
po_0.regf_0.rf\[14\]\[5\],23.15
_1371_,23.08
net56,23.08
_0862_,23.04
po_0.regf_0.rf\[3\]\[5\],23.04
po_0.regf_0.rf\[0\]\[4\],22.96
po_0.regf_0.rf\[5\]\[5\],22.96
po_0.regf_0.rf\[14\]\[1\],22.945
_0641_,22.94
_0828_,22.86
po_0.regf_0.rf\[3\]\[4\],22.78
_0717_,22.76
_0525_,22.7
po_0.regf_0.rf\[9\]\[0\],22.69
po_0.regf_0.rf\[8\]\[8\],22.68
po_0.regf_0.rf\[1\]\[13\],22.67
_0693_,22.6
_1493_,22.58
po_0.regf_0.rf\[6\]\[9\],22.58
po_0.regf_0.rf\[8\]\[7\],22.58
_1348_,22.56
_0568_,22.52
po_0.muxf_0.rf_w_data\[5\],22.44
po_0.regf_0.rf\[15\]\[15\],22.42
po_0.regf_0.rf\[14\]\[2\],22.365
po_0.regf_0.rf\[12\]\[12\],22.28
D_W_data[9],22.11
_0380_,22.04
_0731_,21.96
uc_0.bc_0._55_\[1\],21.91
po_0.regf_0.rf\[11\]\[13\],21.9
po_0.regf_0.rf\[14\]\[15\],21.87
po_0.regf_0.rf\[5\]\[6\],21.84
_0508_,21.82
uc_0.bc_0._54_\[3\],21.82
_1032_,21.73
po_0.regf_0.rf\[12\]\[8\],21.66
_1442_,21.62
po_0.regf_0.rf\[4\]\[2\],21.6
po_0.regf_0.rf\[4\]\[0\],21.56
uc_0.bc_0._55_\[3\],21.52
_0768_,21.48
po_0.regf_0.rf\[0\]\[14\],21.48
_0775_,21.4
net107,21.4
po_0.regf_0.rf\[13\]\[6\],21.26
po_0.regf_0._3_\[1\],21.24
_0648_,21.21
po_0.regf_0.rf\[10\]\[15\],21.165
_0649_,21.16
po_0.regf_0.rf\[2\]\[2\],21.13
po_0.regf_0.rf\[15\]\[8\],21.12
_1427_,21.06
po_0.regf_0.rf\[7\]\[8\],21.04
po_0.regf_0.rf\[13\]\[12\],20.99
po_0.regf_0.rf\[4\]\[15\],20.98
_0465_,20.92
po_0.regf_0.rf\[9\]\[6\],20.88
po_0._1_\[14\],20.86
net33,20.86
po_0.regf_0.rf\[6\]\[4\],20.835
po_0.regf_0.rf\[5\]\[4\],20.82
_0629_,20.76
_0593_,20.72
_0646_,20.7
po_0.regf_0.rf\[7\]\[14\],20.7
po_0.regf_0.rf\[9\]\[14\],20.68
_0383_,20.64
_1351_,20.62
po_0.alu_0.s1,20.62
po_0.regf_0.rf\[0\]\[15\],20.58
po_0.regf_0.rf\[7\]\[7\],20.49
_1195_,20.48
po_0.regf_0.rf\[0\]\[0\],20.44
_0814_,20.405
po_0.regf_0.rf\[12\]\[9\],20.4
po_0.regf_0.rf\[8\]\[9\],20.36
_0678_,20.34
_0495_,20.26
uc_0.bc_0._55_\[0\],20.24
po_0.regf_0.rf\[2\]\[10\],20.175
po_0.regf_0.rf\[6\]\[5\],20.17
po_0.regf_0.rf\[6\]\[8\],20.15
po_0._1_\[12\],20.02
po_0.regf_0.rf\[8\]\[3\],19.84
_0211_,19.785
_0853_,19.66
po_0.regf_0.rf\[4\]\[12\],19.66
po_0.muxf_0.rf_w_data\[4\],19.58
po_0.regf_0.rf\[9\]\[7\],19.5
po_0.regf_0.rf\[4\]\[3\],19.42
_0587_,19.36
po_0.regf_0.rf\[6\]\[13\],19.29
_0819_,19.28
_0360_,19.2
po_0.regf_0.rf\[11\]\[0\],19.2
uc_0._02_,19.2
po_0.regf_0.rf\[14\]\[8\],19.15
po_0.regf_0.rf\[0\]\[7\],19.1
_0618_,19.04
_0008_,18.915
_0730_,18.9
po_0.regf_0.rf\[3\]\[13\],18.88
po_0.regf_0.rf\[10\]\[11\],18.85
po_0.regf_0.rf\[2\]\[13\],18.675
po_0.regf_0.rf\[5\]\[15\],18.64
po_0.regf_0.rf\[12\]\[10\],18.6
po_0.regf_0.rf\[12\]\[1\],18.54
_1463_,18.52
po_0.regf_0.rf\[4\]\[14\],18.5
_0386_,18.48
_0408_,18.48
po_0.alu_0._10_\[13\],18.48
po_0.regf_0.rf\[0\]\[9\],18.46
po_0.regf_0.rf\[2\]\[7\],18.435
_0851_,18.4
po_0.regf_0.rf\[1\]\[5\],18.4
po_0.regf_0.rf\[4\]\[9\],18.4
po_0.regf_0.rf\[10\]\[7\],18.365
_1470_,18.28
po_0.regf_0.rf\[1\]\[9\],18.24
po_0.regf_0.rf\[0\]\[10\],18.2
I_addr[6],18.12
_0686_,18.12
po_0.regf_0.rf\[3\]\[9\],18.12
I_data[13],18.1
po_0.regf_0.rf\[13\]\[15\],18.1
po_0.regf_0.rf\[1\]\[11\],18.1
po_0.regf_0.rf\[9\]\[12\],18.06
_1141_,17.9
po_0.regf_0.rf\[6\]\[14\],17.89
_0687_,17.88
po_0.regf_0.rf\[9\]\[9\],17.86
po_0.regf_0.rf\[1\]\[14\],17.82
po_0.regf_0.rf\[12\]\[3\],17.72
po_0.regf_0.rf\[15\]\[10\],17.72
